type,exercise,subexercise,exercise_slovene,reps,weight,date,occasion,short_note,whole_note
Body,Weight,SVK,Te쬬,,65.5kg,2024-05-01,sportni karton,sportni,Popoldne
Body,Height,SVK,Vi코ina,,181cm,2024-05-01,sportni karton,sportni karton,Popoldne
Body,Weight,Zjutraj,Te쬬,,71.35kg,2025-02-22,casual,zjutraj,na te코캜e
Body,Height,SVK,Vi코ina,,182cm,2024-12-30,,,
Body,Weight,SVK,Te쬬,,73.7kg,2025-03-10,맗ortni karton,popoldne,za sportni karton
Body,Height,SVK,Vi코ina,,183.7cm,2025-03-10,맗ortni karton,, za sportni karton
Other,Bench,,/slo,5,65kg,2024-01-01,Pre-training max,,
Powerlifting,Bench,Larsen,/slo,5,65kg,2024-12-04,Training,,
Powerlifting,Bench,,/slo,3,65kg,2024-06-30,Training,,  # Fixed date: 2024-06-30
Powerlifting,Bench,Resistance Bands,/slo,1,60kg,2024-11-12,Training,Elastika 1,"Top assistance: +20kg, Bottom: +4kg",
Other,Squat(deprecated),S/Z Squat,Spredaj/zadaj,,,,,Barbell position not specified (spredaj/zadaj)
Weightlifting,Snatch,Power Snatch,Poteg na mo캜,1,55kg,2024-12-23,Max,,
Weightlifting,Front Squat,Po캜ep spredaj,Po캜ep spredaj,1,80kg,2024-12-23,Max,,
Weightlifting,Clean & Jerk,Nalog in potisk,Nalog in potisk,1,75kg,2024-11-05,Max,,Clean: 80kg, Jerk: 75kg
Weightlifting,Push Press,Tezno z odrivom spredaj,Tezno z odrivom spredaj,1,69kg,2025-01-11,Max(casual),,
Weightlifting,Overhead Squat,Podsed,Podsed,1,60kg,2025-01-10,Training(1RM),,Failed 70kg (head position error)
Powerlifting,Bench,Reverse Band,/slo,1,100kg,2025-01-22,Training(1st 100kg!),Elastika 1,Failed 105kg (almost made it)
Powerlifting,Bench,Resistance Bands,/slo,1,65kg,2025-01-08,Training,"Elastika 1?",Failed 65kg mid-rep
Powerlifting,Bench,Larsen,/slo,1,70kg,2025-01-29,Training,,Failed 75kg (form mistake)
Powerlifting,Bench,Narrow Grip,/slo,1,75kg,2025-02-05,Training,,Stopped by coach
Powerlifting,Bench,,/slo,1,77kg,2025-02-12,Max,PR,Personal Record
Weightlifting,Push Press,Tezno z odrivom spredaj,Tezno z odrivom spredaj,1,70kg,2024-12-20,Training,,Could do more (time constraints)
Other,Squat,,Po캜ep,1,80kg,2024-01-01,Bootcamp test,,Pre-training max
Other,Deadlift,,Mrtvi dvig,1,100kg,2024-01-01,Bootcamp test,,Pre-training max
MyJunior (Boot Camp),AMRAP,Trening1,AMRAP,,,,,library initialization failed - unable to allocate file descriptor table - out of memory
Powerlifting,Bench,Larsen,/slo,3,70kg,2025-03-05,Training(max),good form,"Beat the previous max, matched 3 reps to weight of 1 rep max."
Powerlifting,Bench,,/slo,3,67.5kg,2025-03-12,Training,uredu,Izboljsal 2.5 kg
Powerlifting,Bench,Larsen,/slo,2,70kg,2025-03-19,Training(max),ni taprav max (lahko bi se),Ok
Powerlifting,Bench,Resistance Bands,/slo,1,67.5kg,2025-04-02,Max(casual),Elastika 2, almost failed (form mistake),Skoraj mi ni uspelo ker mi je elastika povlekla proti trupu stran od glave.
Other,Resistance Band,Elastika 1,/slo,0,20-4kg,,Info,zg 20 sp 4,"Ko je palica zgoraj vle캜e z silo 20kg, ko pa je pri telesu pa z 4kg"
Other,Resistance Band,Elastika 2,/slo,0,30-10kg,,Info,zg 30 sp 10,"Ko je palica zgoraj vle캜e z silo 30kg, ko pa je pri telesu pa z 10kg"
Other,Resistance Band,Elastika 3,/slo,0,--kg,,Info,zg -- sp --,"Ko je palica zgoraj vle캜e z silo --kg, ko pa je pri telesu pa z --kg"
Powerlifting,Bench,Reverse Band,/slo,1,110kg,2025-04-09,Training (max),Elastika 3,"Elastika 3 (zelena, mocnejsa od rdece). Slo vredu, failu 113kg na vrhu (skoraj)"
Powerlifting,Bench,Floor,/slo,1,75kg,2025-04-16,trening(max),slo vredu,"Pri 80kg popustila desna roka 游뱡"
Powerlifting,Bench,Larsen,/slo,1,72.5kg,2025-04-23,training(max),izi,Pomoje bi lahko 75kg
Powerlifting,Bench,Narrow Grip,/slo,1,80kg,2025-04-30,training(max) PR!,super,"Odlicna tehnika, podrl PR od vsega bencha (pa 코e na narrow grip!)"
Body,Weight,Zjutraj,Te쬬,,72.5kg,2025-04-30,casual,zjutraj,Na tesce
Body,Weight,Zjutraj,Te쬬,,73.4kg,2025-05-01,casual,zjutraj,Na tesce
Body,Weight,Zjutraj,Te쬬,,72.4kg,2025-05-02,casual,zjutraj,Na tesce
